Campaign,Ad group,Search term,Match type,Impressions,Clicks,Cost,Conversions,Purchases,Conversion value
Shopping - Sofa,Living Room,modern sofa set online,Broad,2450,85,4250.50,3,3,18750
Shopping - Sofa,Living Room,buy sofa near me,Broad,1820,62,3100.00,2,2,12400
Shopping - Sofa,Living Room,sofa price,Exact,980,34,1700.00,0,0,0
Shopping - Sofa,Living Room,how to clean sofa,Broad,1200,45,2250.00,0,0,0
Shopping - Sofa,Living Room,sofa images,Broad,3400,120,6000.00,0,0,0
Shopping - Sofa,Living Room,cheap sofa online,Phrase,1500,55,2750.00,1,1,4500
Shopping - Sofa,Bedroom,sofa cum bed,Broad,890,28,1400.00,1,1,8200
Shopping - Sofa,Bedroom,sofa bed amazon,Broad,760,25,1250.00,0,0,0
Shopping - Sofa,Bedroom,sofa bed flipkart,Broad,680,22,1100.00,0,0,0
Shopping - Sofa,Bedroom,diy sofa,Broad,540,18,900.00,0,0,0
Shopping - Chair,Office,office chair online,Broad,3200,110,5500.00,5,5,27500
Shopping - Chair,Office,buy ergonomic chair,Exact,1400,48,2400.00,2,2,9600
Shopping - Chair,Office,office chair jobs,Broad,890,32,1600.00,0,0,0
Shopping - Chair,Office,office chair repair,Broad,670,24,1200.00,0,0,0
Shopping - Chair,Office,chair course,Broad,450,16,800.00,0,0,0
Shopping - Chair,Dining,dining chair set,Broad,2100,72,3600.00,3,3,15600
Shopping - Chair,Dining,dining chairs cheap,Phrase,1800,65,3250.00,1,1,3200
Shopping - Chair,Dining,dining chair price,Exact,950,33,1650.00,2,2,9800
Shopping - Chair,Dining,dining chair diy,Broad,780,28,1400.00,0,0,0
Shopping - Chair,Dining,wooden chair meaning,Broad,320,12,600.00,0,0,0
Shopping - Table,Center,center table online,Broad,1650,56,2800.00,2,2,11200
Shopping - Table,Center,coffee table price,Exact,1200,42,2100.00,1,1,5500
Shopping - Table,Center,coffee table ideas,Broad,2800,95,4750.00,0,0,0
Shopping - Table,Center,coffee table tutorial,Broad,920,33,1650.00,0,0,0
Shopping - Table,Dining,dining table set 6 seater,Broad,2400,82,4100.00,4,4,32000
Shopping - Table,Dining,dining table buy online,Exact,1800,62,3100.00,3,3,24600
Shopping - Table,Dining,dining table second hand,Broad,1100,40,2000.00,0,0,0
Shopping - Table,Dining,dining table salary,Broad,280,10,500.00,0,0,0
Shopping - Wardrobe,Master,wardrobe online india,Broad,3100,105,5250.00,3,3,22500
Shopping - Wardrobe,Master,wooden wardrobe price,Exact,1600,55,2750.00,2,2,16000
Shopping - Wardrobe,Master,wardrobe design ideas,Broad,4200,145,7250.00,0,0,0
Shopping - Wardrobe,Master,modular wardrobe buy,Phrase,1400,48,2400.00,2,2,14400
Shopping - Wardrobe,Master,wardrobe amazon,Broad,980,35,1750.00,0,0,0
Shopping - Wardrobe,Kids,kids wardrobe online,Broad,1200,42,2100.00,2,2,9600
Shopping - Wardrobe,Kids,small wardrobe for kids,Exact,680,24,1200.00,1,1,4800
Shopping - Wardrobe,Kids,kids wardrobe diy,Broad,540,20,1000.00,0,0,0
Shopping - Bed,Queen,queen size bed online,Broad,2800,96,4800.00,4,4,28000
Shopping - Bed,Queen,buy queen bed,Exact,1600,55,2750.00,2,2,14800
Shopping - Bed,Queen,queen bed cheap,Phrase,1400,50,2500.00,1,1,5200
Shopping - Bed,Queen,queen bed assembly tutorial,Broad,620,22,1100.00,0,0,0
Shopping - Bed,King,king size bed india,Broad,2200,75,3750.00,3,3,24750
Shopping - Bed,King,king bed price,Exact,1300,45,2250.00,2,2,16500
Shopping - Bed,King,king bed flipkart,Broad,780,28,1400.00,0,0,0
Shopping - Bed,King,luxury king bed online,Broad,1100,38,1900.00,1,1,9500
Shopping - Bed,Single,single bed for kids,Broad,950,34,1700.00,2,2,7400
Shopping - Bed,Single,single bed second hand,Broad,680,25,1250.00,0,0,0
Shopping - Mattress,Foam,memory foam mattress buy,Broad,3400,116,5800.00,5,5,32500
Shopping - Mattress,Foam,foam mattress price india,Exact,1800,62,3100.00,3,3,19800
Shopping - Mattress,Foam,foam mattress cheap,Phrase,1500,52,2600.00,2,2,8000
Shopping - Mattress,Foam,mattress review comparison,Broad,2600,90,4500.00,0,0,0
Shopping - Mattress,Spring,spring mattress online,Broad,1900,65,3250.00,2,2,13000
Shopping - Mattress,Spring,spring mattress jobs,Broad,340,12,600.00,0,0,0
